
Image Name                     PID Session Name        Session#    Mem Usage
sihost.exe                   14868 Console                    3     27,192 K
svchost.exe                  15964 Console                    3     17,920 K
svchost.exe                   7208 Console                    3     25,860 K
taskhostw.exe                13368 Console                    3     17,020 K
igfxEM.exe                   20516 Console                    3      8,432 K
explorer.exe                 10856 Console                    3    160,988 K
ShellExperienceHost.exe       6784 Console                    3     66,524 K
TSVNCache.exe                17592 Console                    3      6,104 K
SearchUI.exe                 20452 Console                    3     74,004 K
dllhost.exe                    144 Console                    3     11,440 K
RuntimeBroker.exe            13288 Console                    3     18,732 K
RuntimeBroker.exe             5096 Console                    3     28,968 K
SkypeHost.exe                 1048 Console                    3        628 K
ctfmon.exe                   11752 Console                    3     14,608 K
MSASCuiL.exe                 21304 Console                    3      5,532 K
RuntimeBroker.exe             3296 Console                    3     29,100 K
RAVCpl64.exe                 16228 Console                    3      7,896 K
Everything.exe                8024 Console                    3    121,956 K
lync.exe                     13432 Console                    3    101,800 K
svchost.exe                   1364 Console                    3     13,680 K
Docker for Windows.exe       21656 Console                    3     44,128 K
vpnkit.exe                   21888 Console                    3     10,664 K
Docker.Watchguard.exe        19272 Services                   0      1,412 K
conhost.exe                  16424 Console                    3      3,516 K
conhost.exe                  23244 Services                   0      3,320 K
com.docker.proxy.exe         21468 Console                    3     11,272 K
Docker.Watchguard.exe         9768 Services                   0      1,420 K
conhost.exe                  23460 Services                   0      3,300 K
conhost.exe                   2068 Console                    3      3,464 K
NTS.exe                      19236 Console                    3     45,744 K
chrome.exe                   14732 Console                    3    266,020 K
SCNotification.exe           18408 Console                    3     25,896 K
chrome.exe                   10380 Console                    3      5,188 K
chrome.exe                   15296 Console                    3      5,284 K
CDT.NTS.Healer.exe            3444 Console                    3     13,924 K
chrome.exe                    3712 Console                    3    159,136 K
chrome.exe                   12468 Console                    3     46,988 K
chrome.exe                    1052 Console                    3     24,796 K
chrome.exe                   15044 Console                    3    156,812 K
chrome.exe                    3992 Console                    3     33,768 K
chrome.exe                    5248 Console                    3     13,996 K
chrome.exe                   12504 Console                    3     13,960 K
Rocinante.Agent.exe           9224 Console                    3     30,792 K
hid.exe                      10180 Console                    3      8,216 K
Redragon K570RGB.exe         11284 Console                    3      9,376 K
UpdaterUI.exe                 8964 Console                    3      7,268 K
mctray.exe                   18988 Console                    3        372 K
flux.exe                     12932 Console                    3     24,604 K
dllhost.exe                  15656 Console                    3      7,944 K
ApplicationFrameHost.exe     11196 Console                    3     29,516 K
Calculator.exe                2240 Console                    3     20,312 K
RuntimeBroker.exe            17072 Console                    3      4,036 K
LockApp.exe                  22116 Console                    3     32,512 K
RuntimeBroker.exe            15480 Console                    3     25,536 K
svchost.exe                   1072 Services                   0      5,880 K
lynchtmlconv.exe              8292 Console                    3     16,344 K
OUTLOOK.EXE                  17972 Console                    3    118,936 K
Microsoft.Photos.exe         20008 Console                    3     37,848 K
RuntimeBroker.exe            16028 Console                    3     25,732 K
taskhostw.exe                20028 Console                    3     16,584 K
TSVNCache.exe                11548 Console                    3      7,372 K
svchost.exe                   7616 Services                   0      5,808 K
SearchIndexer.exe             9820 Services                   0     59,928 K
UcMapi.exe                   19656 Console                    3     22,188 K
Code.exe                     21652 Console                    3     62,104 K
Code.exe                     11916 Console                    3    242,560 K
Code.exe                     19712 Console                    3    150,424 K
winpty-agent.exe             18112 Console                    3      4,800 K
conhost.exe                  19440 Console                    3      7,064 K
bash.exe                     13080 Console                    3      3,920 K
bash.exe                     10020 Console                    3      8,516 K
Code.exe                      1652 Console                    3      9,140 K
CodeHelper.exe               15244 Console                    3     12,076 K
conhost.exe                  12540 Console                    3      4,504 K
Code.exe                     11204 Console                    3     43,628 K
Code.exe                     22348 Console                    3     57,192 K
Code.exe                     11772 Console                    3     18,408 K
Code.exe                     20812 Console                    3     19,856 K
stack.exe                    20716 Console                    3     23,004 K
conhost.exe                   7620 Console                    3      4,404 K
ghc-mod.exe                  17928 Console                    3    336,196 K
conhost.exe                   5264 Console                    3      4,440 K
stack.exe                     4768 Console                    3     22,784 K
conhost.exe                  10044 Console                    3      4,416 K
stack.exe                    12908 Console                    3     22,724 K
stack.exe                    17028 Console                    3     22,756 K
conhost.exe                   9496 Console                    3      4,408 K
conhost.exe                   1792 Console                    3      4,428 K
ghci.exe                     14704 Console                    3      1,644 K
ghc.exe                      18888 Console                    3     32,968 K
ghci.exe                      8200 Console                    3      1,640 K
ghc.exe                       5976 Console                    3    137,392 K
ghci.exe                      2948 Console                    3      1,644 K
ghc.exe                      22504 Console                    3     35,864 K
intero.exe                   16712 Console                    3     99,460 K
sublime_text.exe             18852 Console                    3     21,348 K
plugin_host.exe              21540 Console                    3      7,316 K
chrome.exe                    3184 Console                    3    138,408 K
winpty-agent.exe              4092 Console                    3      4,692 K
conhost.exe                   3128 Console                    3      6,420 K
bash.exe                     19032 Console                    3      4,068 K
bash.exe                     13156 Console                    3      6,000 K
bash.exe                     15144 Console                    3      2,772 K
ghci.exe                     14824 Console                    3      2,552 K
ghc.exe                       8684 Console                    3     65,568 K
stack.exe                     1440 Console                    3     25,288 K
conhost.exe                   4992 Console                    3      4,636 K
intero.exe                   14912 Console                    3     75,416 K
svchost.exe                   1420 Services                   0      7,408 K
Rocinante.Agent.exe           3972 Console                    3     25,024 K
